Date,Open,Max,Min,Close,Volume
2016-04-15,1.9,1.98,1.87,1.9,15489
2016-04-18,1.9,1.92,1.79,1.85,64704
2016-04-19,1.85,1.92,1.81,1.86,16354
2016-04-20,1.85,1.96,1.85,1.93,25455
2016-04-21,1.93,1.93,1.86,1.89,6412
2016-04-22,1.87,1.88,1.84,1.88,5026
2016-04-25,1.88,1.88,1.8,1.88,7380
2016-04-26,1.88,1.93,1.84,1.91,14890
2016-04-27,1.91,2.06,1.91,1.93,29462
2016-04-28,1.95,2.04,1.95,2,26675
2016-04-29,2.04,2.05,2.01,2.04,11525
2016-05-02,2.04,2.06,1.96,2.04,6273
2016-05-04,1.98,2.02,1.98,2.01,1823
2016-05-05,2.01,2.02,1.91,1.95,3497
2016-05-06,1.92,1.95,1.91,1.95,2876
2016-05-09,1.93,1.93,1.82,1.85,31878
2016-05-10,1.82,1.82,1.75,1.82,31913
2016-05-11,1.92,1.92,1.85,1.92,11170
2016-05-12,1.87,1.99,1.87,1.92,5982
2016-05-13,1.92,1.96,1.87,1.87,12289
2016-05-16,1.78,1.9,1.78,1.88,67493
2016-05-17,1.89,1.92,1.86,1.9,4670
2016-05-18,1.92,1.94,1.89,1.92,8805
2016-05-19,1.92,1.92,1.81,1.89,17235
2016-05-20,1.9,1.9,1.82,1.88,3084
2016-05-23,1.88,1.88,1.79,1.85,4307
2016-05-24,1.88,1.88,1.76,1.84,6509
2016-05-25,1.83,1.86,1.76,1.82,15079
2016-05-27,1.84,1.88,1.83,1.83,11943
2016-05-30,1.83,1.89,1.78,1.86,18868
2016-05-31,1.86,1.86,1.86,1.86,2
2016-06-01,1.84,1.84,1.71,1.8,6027
2016-06-02,1.79,1.79,1.79,1.79,2
2016-06-03,1.71,1.79,1.71,1.73,2090
2016-06-06,1.79,1.84,1.76,1.83,12508
2016-06-07,1.88,1.88,1.8,1.85,3614
2016-06-08,1.78,1.91,1.78,1.91,24263
2016-06-09,1.94,1.97,1.9,1.95,12104
2016-06-10,1.95,1.95,1.91,1.91,6010
2016-06-13,1.9,1.9,1.8,1.9,6391
2016-06-14,1.9,1.9,1.9,1.9,3006
2016-06-15,1.8,1.8,1.77,1.8,9375
2016-06-16,1.76,1.79,1.75,1.76,1590
2016-06-17,1.8,1.8,1.8,1.8,56
2016-06-20,1.78,1.78,1.75,1.78,1503
2016-06-21,1.78,1.78,1.74,1.75,6848
2016-06-22,1.75,1.75,1.75,1.75,6500
2016-06-23,1.8,1.8,1.8,1.8,1027
2016-06-24,1.68,1.77,1.66,1.77,20266
2016-06-27,1.71,1.72,1.71,1.72,1003
2016-06-28,1.69,1.76,1.69,1.76,1317
2016-06-29,1.77,1.77,1.69,1.76,2534
2016-06-30,1.76,1.76,1.72,1.76,696
2016-07-01,1.76,1.76,1.73,1.75,1455
2016-07-04,1.75,1.76,1.74,1.76,12746
2016-07-05,1.7,1.73,1.69,1.73,6061
2016-07-06,1.7,1.7,1.62,1.67,7648
2016-07-07,1.67,1.71,1.67,1.71,1199
2016-07-08,1.7,1.7,1.7,1.7,300
2016-07-11,1.69,1.69,1.69,1.69,2000
2016-07-13,1.69,1.69,1.68,1.68,1972
2016-07-14,1.66,1.72,1.66,1.72,4134
2016-07-15,1.67,1.75,1.67,1.75,4190
2016-07-18,1.74,1.74,1.67,1.74,1716
2016-07-19,1.74,1.74,1.74,1.74,41
2016-07-20,1.74,1.75,1.71,1.75,4295
2016-07-21,1.76,1.76,1.72,1.75,3757
2016-07-22,1.75,1.76,1.73,1.76,2446
2016-07-25,1.76,1.76,1.7,1.72,13280
2016-07-26,1.72,1.75,1.72,1.75,7434
2016-07-27,1.75,1.75,1.7,1.75,1155
2016-07-28,1.69,1.71,1.65,1.7,17401
2016-07-29,1.63,1.65,1.62,1.65,9516
2016-08-01,1.65,1.65,1.62,1.64,17526
2016-08-02,1.6,1.79,1.6,1.71,44701
2016-08-03,1.75,1.78,1.69,1.78,16453
2016-08-04,1.78,1.79,1.61,1.64,63493
2016-08-05,1.64,1.64,1.62,1.63,3529
2016-08-08,1.64,1.64,1.61,1.61,5541
2016-08-09,1.63,1.63,1.63,1.63,117
2016-08-10,1.63,1.63,1.59,1.62,11107
2016-08-11,1.62,1.62,1.53,1.55,25533
2016-08-12,1.53,1.58,1.46,1.5,19587
2016-08-16,1.44,1.51,1.44,1.51,1625
2016-08-17,1.47,1.51,1.47,1.51,2160
2016-08-18,1.51,1.54,1.51,1.54,1062
2016-08-19,1.54,1.55,1.49,1.49,3768
2016-08-22,1.49,1.53,1.49,1.53,4443
2016-08-23,1.52,1.52,1.49,1.49,4679
2016-08-24,1.51,1.51,1.45,1.5,12204
